strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Chronic Thunder,Indica,THC 15%,4.5,(90),64 people reported 511 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],,['29% of people say it helps with depression'],['7% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['48% of people report feeling happy'],['6% of people report feeling headache'],['45% of people say it helps with insomnia'],['35% of people say it helps with pain'],,['32% of people say it helps with stress'],,,,,,['79% of people report feeling relaxed'],,,,,['45% of people report feeling sleepy'],,['26% of people report feeling hungry'],['3% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuck OG,Hybrid,THC 18%,4.8,(8),3 people reported 15 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['66% of people report feeling creative'],,,,['33% of people report feeling dry mouth'],['66% of people report feeling euphoric'],,,,,,,,['66% of people report feeling uplifted'],,,,,['66% of people report feeling relaxed'],,,,,,['33% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chucky's Bride,Hybrid,Unavailable,3.7,(7),4 people reported 33 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['50% of people say it helps with depression'],,['25% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['75% of people report feeling euphoric'],,['75% of people report feeling happy'],,['25% of people say it helps with insomnia'],,,['50% of people say it helps with stress'],,,,['75% of people report feeling giggly'],,,['75% of people report feeling energetic'],,,['25% of people say it helps with headaches'],,,,,,['50% of people say it helps with lack of appetite'],['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk Dawg,Hybrid,THC 30%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunkadelic,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunky Diesel,Hybrid,Unavailable,4.6,(60),43 people reported 281 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['13% of people say it helps with anxiety'],,['27% of people say it helps with depression'],,['2% of people report feeling dry eyes'],['9% of people report feeling dry mouth'],['41% of people report feeling euphoric'],['34% of people report feeling focused'],['48% of people report feeling happy'],,,['18% of people say it helps with pain'],['2% of people report feeling paranoid'],['23% of people say it helps with stress'],['48% of people report feeling uplifted'],,['20% of people say it helps with fatigue'],,,['37% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chupacabra,Hybrid,THC 19%,4.6,(29),18 people reported 140 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['50% of people say it helps with depression'],,,['33% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['83% of people report feeling happy'],['5% of people report feeling headache'],,['33% of people say it helps with pain'],,['55% of people say it helps with stress'],['55% of people report feeling uplifted'],,['16% of people say it helps with fatigue'],,,['66% of people report feeling relaxed'],,,,,,,,['11% of people report feeling anxious'],['22% of people say it helps with ptsd'],,['33% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Church OG,Indica,THC 15%,4.1,(123),93 people reported 615 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],,['17% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['35% of people report feeling euphoric'],,['38% of people report feeling happy'],,['24% of people say it helps with insomnia'],['32% of people say it helps with pain'],['10% of people report feeling paranoid'],['26% of people say it helps with stress'],['25% of people report feeling uplifted'],,,,,['58% of people report feeling relaxed'],,,,,['43% of people report feeling sleepy'],,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churchill Cherry,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churro,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella 99,Hybrid,THC 16%,4.2,(1109),804 people reported 5784 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['37% of people report feeling creative'],['31% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['53% of people report feeling euphoric'],,['59% of people report feeling happy'],,,['19% of people say it helps with pain'],['8% of people report feeling paranoid'],['34% of people say it helps with stress'],['52% of people report feeling uplifted'],,['14% of people say it helps with fatigue'],,,,['49% of people report feeling energetic'],,,,,,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderella's Dream,Hybrid,THC 18%,4.4,(102),66 people reported 411 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['19% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['3% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['51% of people report feeling euphoric'],,['51% of people report feeling happy'],,,,,['24% of people say it helps with stress'],['57% of people report feeling uplifted'],,['15% of people say it helps with fatigue'],,,['46% of people report feeling relaxed'],['50% of people report feeling energetic'],,,,,,,['1% of people report feeling anxious'],,['16% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Haze,Hybrid,THC 14%,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Le Pew,Hybrid,THC 13%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy White,Hybrid,THC 19%,4.3,(53),38 people reported 215 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],,['15% of people say it helps with depression'],,,['15% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['52% of people report feeling happy'],['5% of people report feeling headache'],['13% of people say it helps with insomnia'],['13% of people say it helps with pain'],,['18% of people say it helps with stress'],['55% of people report feeling uplifted'],,,,,['42% of people report feeling relaxed'],['36% of people report feeling energetic'],,,,,,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy's Slurry,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinex,Sativa,THC 16%,4.3,(904),628 people reported 4396 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['23% of people say it helps with anxiety'],['42% of people report feeling creative'],['30% of people say it helps with depression'],['4% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],,['46% of people report feeling focused'],['52% of people report feeling happy'],,,['22% of people say it helps with pain'],['5% of people report feeling paranoid'],['31% of people say it helps with stress'],['50% of people report feeling uplifted'],,['15% of people say it helps with fatigue'],,,,['51% of people report feeling energetic'],,,,,,,['6% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circa,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circus Peanuts,Hybrid,Unavailable,4.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirrus,Sativa,Unavailable,5.0,(9),7 people reported 71 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['42% of people say it helps with depression'],,['14% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['71% of people report feeling euphoric'],,['85% of people report feeling happy'],['14% of people report feeling headache'],,,['14% of people report feeling paranoid'],['42% of people say it helps with stress'],['85% of people report feeling uplifted'],,['28% of people say it helps with fatigue'],['57% of people report feeling giggly'],,,,['28% of people say it helps with inflammation'],,['42% of people say it helps with headaches'],,,,['14% of people report feeling anxious'],,,['85% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Citradelic Cookies,Hybrid,Unavailable,4.6,(5),2 people reported 15 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,['100% of people report feeling giggly'],,,['100% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citradelic Sunset,Hybrid,THC 17%,4.8,(19),14 people reported 101 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],,['21% of people say it helps with depression'],,,['28% of people report feeling dry mouth'],['64% of people report feeling euphoric'],,['64% of people report feeling happy'],,,,,['42% of people say it helps with stress'],['64% of people report feeling uplifted'],,['14% of people say it helps with fatigue'],,,['35% of people report feeling relaxed'],['50% of people report feeling energetic'],,,,,,,,['21% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citral Flo,Hybrid,THC 19%,5.0,(2),2 people reported 9 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,['50% of people report feeling uplifted'],,,,,,['50% of people report feeling energetic'],,,,,,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Citral Flow Bx1,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citral Glue,Hybrid,THC 21%,4.3,(40),33 people reported 193 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],,['18% of people say it helps with depression'],['3% of people report feeling dizzy'],['6% of people report feeling dry eyes'],['15% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['30% of people report feeling focused'],['54% of people report feeling happy'],['9% of people report feeling headache'],,['21% of people say it helps with pain'],,['24% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,['54% of people report feeling relaxed'],,,,,,,,,,,,['12% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Citral Skunk,Hybrid,THC 19%,4.3,(10),6 people reported 27 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['16% of people say it helps with depression'],,['16% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['33% of people report feeling happy'],,['16% of people say it helps with insomnia'],['16% of people say it helps with pain'],,['16% of people say it helps with stress'],['66% of people report feeling uplifted'],,,,,['33% of people report feeling relaxed'],['33% of people report feeling energetic'],,,,,,,,,,,,,,,,,['16% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
