strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Chronic,Hybrid,THC 15%,4.4,(177),100 people reported 765 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['8% of people report feeling anxious'],['27% of people say it helps with depression'],['11% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['37% of people report feeling dry mouth'],['40% of people report feeling euphoric'],['68% of people report feeling happy'],,['15% of people say it helps with pain'],['19% of people report feeling paranoid'],['43% of people report feeling relaxed'],,['31% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,,,,,,['17% of people say it helps with lack of appetite'],,,['51% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Banana Hammock R1,Indica,THC 11%,4.6,(55),46 people reported 163 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['2% of people report feeling anxious'],,,['10% of people report feeling dry eyes'],['6% of people report feeling dry mouth'],['28% of people report feeling euphoric'],['36% of people report feeling happy'],['10% of people say it helps with insomnia'],['10% of people say it helps with pain'],,['65% of people report feeling relaxed'],['32% of people report feeling sleepy'],['8% of people say it helps with stress'],,['13% of people report feeling hungry'],,['2% of people report feeling headache'],,,['10% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-98 Bubba Kush,Indica,THC 16%,4.4,(542),389 people reported 2893 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['4% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['49% of people report feeling happy'],['33% of people say it helps with insomnia'],['39% of people say it helps with pain'],['2% of people report feeling paranoid'],['67% of people report feeling relaxed'],['46% of people report feeling sleepy'],['34% of people say it helps with stress'],,['27% of people report feeling hungry'],,['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECSD,Sativa,THC 19%,4.3,(247),175 people reported 1238 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['31% of people say it helps with depression'],['8% of people report feeling dizzy'],['16% of people report feeling dry eyes'],['30% of people report feeling dry mouth'],['51% of people report feeling euphoric'],['56% of people report feeling happy'],,['22% of people say it helps with pain'],['5% of people report feeling paranoid'],,,['35% of people say it helps with stress'],['47% of people report feeling uplifted'],,['33% of people report feeling creative'],['5% of people report feeling headache'],['54% of people report feeling energetic'],['18% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey Butter,Indica,THC 18%,4.7,(59),47 people reported 262 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['6% of people report feeling anxious'],['17% of people say it helps with depression'],['4% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['14% of people report feeling dry mouth'],['29% of people report feeling euphoric'],['57% of people report feeling happy'],,['27% of people say it helps with pain'],['2% of people report feeling paranoid'],['63% of people report feeling relaxed'],['31% of people report feeling sleepy'],['29% of people say it helps with stress'],['29% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,['12% of people say it helps with inflammation'],,,,,,,,,,,,,,,,,,,,
Sour Grapes,Hybrid,THC 16%,4.3,(382),275 people reported 2108 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['4% of people report feeling anxious'],['30% of people say it helps with depression'],['7% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['61% of people report feeling happy'],['13% of people say it helps with insomnia'],['34% of people say it helps with pain'],,['54% of people report feeling relaxed'],,['38% of people say it helps with stress'],['51% of people report feeling uplifted'],,['27% of people report feeling creative'],['3% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Orange,Hybrid,THC 12%,4.3,(345),239 people reported 1546 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['2% of people report feeling anxious'],['22% of people say it helps with depression'],['10% of people report feeling dizzy'],['21% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['55% of people report feeling happy'],,['20% of people say it helps with pain'],['5% of people report feeling paranoid'],['41% of people report feeling relaxed'],,['30% of people say it helps with stress'],['44% of people report feeling uplifted'],,,,['33% of people report feeling energetic'],['11% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream Queen,Hybrid,THC 16%,4.3,(364),274 people reported 2049 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['2% of people report feeling anxious'],['26% of people say it helps with depression'],['12% of people report feeling dizzy'],['19% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['52% of people report feeling happy'],['14% of people say it helps with insomnia'],['27% of people say it helps with pain'],['4% of people report feeling paranoid'],['48% of people report feeling relaxed'],,['36% of people say it helps with stress'],['54% of people report feeling uplifted'],,['28% of people report feeling creative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God Bud,Indica,THC 16%,4.2,(602),409 people reported 3069 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['3% of people report feeling anxious'],['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],['47% of people report feeling euphoric'],['49% of people report feeling happy'],['27% of people say it helps with insomnia'],['36% of people say it helps with pain'],['5% of people report feeling paranoid'],['67% of people report feeling relaxed'],['39% of people report feeling sleepy'],['39% of people say it helps with stress'],['30% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry,Sativa,THC 14%,4.3,(187),145 people reported 991 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['23% of people say it helps with depression'],['6% of people report feeling dizzy'],['22% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['57% of people report feeling happy'],['17% of people say it helps with insomnia'],['23% of people say it helps with pain'],['6% of people report feeling paranoid'],['37% of people report feeling relaxed'],,['35% of people say it helps with stress'],['49% of people report feeling uplifted'],,,['8% of people report feeling headache'],['37% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THC Bomb,Hybrid,THC 18%,4.1,(242),178 people reported 1227 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['22% of people say it helps with depression'],['11% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],['45% of people report feeling euphoric'],['51% of people report feeling happy'],['21% of people say it helps with insomnia'],['25% of people say it helps with pain'],['7% of people report feeling paranoid'],['52% of people report feeling relaxed'],,['35% of people say it helps with stress'],['34% of people report feeling uplifted'],,['26% of people report feeling creative'],['5% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
